mso,rtr,value
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
23,1,1
23,2,1
23,3,1
23,4,1
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,1
23,12,1
23,13,1
23,14,1
24,1,1
24,2,1
24,3,1
24,4,1
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,1
24,12,1
24,13,1
24,14,1
25,1,1
25,2,1
25,3,1
25,4,1
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,1
25,12,1
25,13,1
25,14,1
26,1,1
26,2,1
26,3,1
26,4,1
26,5,0
26,6,0
26,7,0
26,8,0
26,9,1
26,10,1
26,11,0
26,12,0
26,13,0
26,14,0
27,1,1
27,2,1
27,3,1
27,4,1
27,5,0
27,6,0
27,7,0
27,8,0
27,9,1
27,10,1
27,11,0
27,12,0
27,13,1
27,14,1
28,1,1
28,2,1
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,1
28,10,1
28,11,1
28,12,1
28,13,0
28,14,0
29,1,1
29,2,1
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,1
29,12,1
29,13,0
29,14,0
30,1,1
30,2,1
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
30,10,0
30,11,0
30,12,0
30,13,0
30,14,0
31,1,1
31,2,1
31,3,1
31,4,1
31,5,0
31,6,0
31,7,0
31,8,1
31,9,1
31,10,0
31,11,1
31,12,1
31,13,1
31,14,1
32,1,1
32,2,1
32,3,1
32,4,1
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,1
32,12,1
32,13,1
32,14,1
33,1,1
33,2,1
33,3,1
33,4,1
33,5,0
33,6,0
33,7,0
33,8,0
33,9,0
33,10,0
33,11,1
33,12,1
33,13,1
33,14,1
34,1,2
34,2,2
34,3,2
34,4,2
34,5,0
34,6,0
34,7,0
34,8,0
34,9,1
34,10,1
34,11,0
34,12,0
34,13,0
34,14,0
35,1,1
35,2,1
35,3,1
35,4,1
35,5,0
35,6,0
35,7,0
35,8,0
35,9,1
35,10,1
35,11,0
35,12,0
35,13,1
35,14,1
36,1,1
36,2,1
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,1
36,10,1
36,11,1
36,12,1
36,13,0
36,14,0
37,1,1
37,2,1
37,3,0
37,4,0
37,5,0
37,6,0
37,7,0
37,8,0
37,9,0
37,10,0
37,11,1
37,12,1
37,13,0
37,14,0
38,1,1
38,2,1
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
38,11,0
38,12,0
38,13,0
38,14,0
39,1,1
39,2,1
39,3,1
39,4,1
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
39,11,1
39,12,1
39,13,1
39,14,1
40,1,1
40,2,1
40,3,1
40,4,1
40,5,0
40,6,0
40,7,0
40,8,0
40,9,0
40,10,0
40,11,1
40,12,1
40,13,1
40,14,1
41,1,1
41,2,1
41,3,1
41,4,1
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,0
41,11,1
41,12,1
41,13,1
41,14,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,0
42,6,0
42,7,0
42,8,0
42,9,1
42,10,1
42,11,0
42,12,0
42,13,0
42,14,0
43,1,1
43,2,1
43,3,1
43,4,1
43,5,0
43,6,0
43,7,0
43,8,0
43,9,1
43,10,1
43,11,0
43,12,0
43,13,1
43,14,1
44,1,1
44,2,1
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
44,9,1
44,10,1
44,11,1
44,12,1
44,13,0
44,14,0
45,1,1
45,2,1
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
45,9,1
45,10,1
45,11,1
45,12,1
45,13,0
45,14,0
46,1,1
46,2,1
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
46,10,0
46,11,1
46,12,1
46,13,0
46,14,0
47,1,1
47,2,1
47,3,0
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
47,9,0
47,10,0
47,11,0
47,12,0
47,13,0
47,14,0
48,1,1
48,2,1
48,3,1
48,4,1
48,5,0
48,6,0
48,7,0
48,8,1
48,9,1
48,10,0
48,11,1
48,12,1
48,13,1
48,14,1
49,1,1
49,2,1
49,3,1
49,4,1
49,5,0
49,6,0
49,7,0
49,8,0
49,9,0
49,10,0
49,11,1
49,12,1
49,13,1
49,14,1
50,1,1
50,2,1
50,3,1
50,4,1
50,5,0
50,6,0
50,7,0
50,8,0
50,9,0
50,10,0
50,11,1
50,12,1
50,13,1
50,14,1
51,1,2
51,2,2
51,3,2
51,4,2
51,5,0
51,6,0
51,7,0
51,8,0
51,9,1
51,10,1
51,11,0
51,12,0
51,13,0
51,14,0
52,1,1
52,2,1
52,3,1
52,4,1
52,5,0
52,6,0
52,7,0
52,8,0
52,9,1
52,10,1
52,11,0
52,12,0
52,13,1
52,14,1
53,1,1
53,2,1
53,3,0
53,4,0
53,5,0
53,6,0
53,7,0
53,8,0
53,9,1
53,10,1
53,11,1
53,12,1
53,13,0
53,14,0
54,1,1
54,2,1
54,3,0
54,4,0
54,5,0
54,6,0
54,7,0
54,8,0
54,9,0
54,10,0
54,11,1
54,12,1
54,13,0
54,14,0
55,1,1
55,2,1
55,3,0
55,4,0
55,5,0
55,6,0
55,7,0
55,8,0
55,9,0
55,10,0
55,11,0
55,12,0
55,13,0
55,14,0
56,1,1
56,2,1
56,3,1
56,4,1
56,5,0
56,6,0
56,7,0
56,8,0
56,9,0
56,10,0
56,11,1
56,12,1
56,13,1
56,14,1
57,1,1
57,2,1
57,3,1
57,4,1
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
57,10,0
57,11,1
57,12,1
57,13,1
57,14,1
58,1,1
58,2,1
58,3,1
58,4,1
58,5,0
58,6,0
58,7,0
58,8,0
58,9,0
58,10,0
58,11,1
58,12,1
58,13,1
58,14,1
